iter	RMSE
864	64238.83426
865	64201.68103
866	64178.94859
867	64146.20552
868	64106.66802
869	64086.2134
870	64034.1807
871	64022.69072
872	64005.85267
873	63957.64851
874	63952.80951
875	63945.45252
876	63926.23389
877	63905.85835
878	63874.27888
879	63851.39721
880	63833.96051
881	63806.69701
882	63798.74041
883	63790.40832
884	63770.14542
885	63760.36952
886	63746.45797
887	63734.65405
888	63710.00574
889	63689.71668
890	63678.84273
891	63655.20775
892	63641.40874
893	63615.78889
894	63608.28291
895	63582.32988
896	63568.22953
897	63538.14168
898	63528.5933
899	63523.77889
900	63496.18045
901	63488.11004
902	63457.59704
903	63441.1735
904	63398.82683
905	63378.45028
906	63346.96048
907	63330.3247
908	63311.95381
909	63299.98507
910	63262.07867
911	63253.05797
912	63249.67808
913	63224.5849
914	63212.20379
915	63196.59843
916	63184.06727
917	63156.99161
918	63131.22979
919	63113.03976
920	63090.61992
921	63070.54664
922	63037.66341
923	63014.10474
924	62987.04651
925	62973.03789
926	62969.48099
927	62945.98911
928	62945.77007
929	62928.93324
930	62915.09071
931	62875.41559
932	62864.09554
933	62840.06605
934	62820.35109
935	62808.28138
936	62798.90643
937	62786.01915
938	62779.98477
939	62778.71492
940	62766.71085
941	62761.20153
942	62757.17256
943	62756.48782
944	62723.31111
945	62719.12841
946	62712.41721
947	62695.65443
948	62680.92988
949	62676.84666
950	62649.58453
951	62643.3208
952	62626.45323
953	62613.47165
954	62564.04118
955	62561.91012
956	62554.81688
957	62540.28192
958	62515.36824
959	62507.64587
960	62496.2353
961	62477.63866
962	62467.61896
963	62453.50915
964	62429.45268
965	62421.58942
966	62396.06015
967	62380.95523
968	62377.2547
969	62311.33809
970	62308.17112
971	62281.41065
972	62278.68888
973	62278.42931
974	62277.75597
975	62276.02387
976	62252.84043
977	62222.05112
978	62186.13736
979	62176.40058
980	62165.43893
981	62162.38327
982	62161.77266
983	62156.38999
984	62139.178
985	62119.81621
986	62107.70427
987	62097.78345
988	62083.75684
989	62062.17365
990	62041.18337
991	62040.97868
992	62013.06241
993	61959.30808
994	61929.14915
995	61889.14086
996	61856.36354
997	61837.0401
998	61812.58558
999	61791.36491
