iter	RMSE
836	76974.66786
837	76936.27401
838	76877.89502
839	76857.6886
840	76822.89367
841	76816.68436
842	76794.10695
843	76772.8494
844	76732.69038
845	76711.29364
846	76686.56083
847	76655.78669
848	76644.1795
849	76626.70279
850	76603.51606
851	76575.57647
852	76554.95488
853	76520.31958
854	76498.56068
855	76454.12419
856	76425.82612
857	76393.2908
858	76365.33828
859	76350.56413
860	76334.33672
861	76319.41829
862	76308.21728
863	76287.44677
864	76252.46124
865	76219.6664
866	76202.03816
867	76181.5943
868	76161.34541
869	76141.5479
870	76114.77452
871	76094.891
872	76086.26589
873	76062.04579
874	76039.41694
875	76020.30883
876	76012.14262
877	75975.15166
878	75939.83596
879	75896.43667
880	75883.99777
881	75868.80885
882	75851.51036
883	75829.35362
884	75804.17754
885	75783.81203
886	75743.92244
887	75699.79301
888	75674.50013
889	75642.11096
890	75625.98144
891	75617.67212
892	75591.10069
893	75563.70703
894	75524.16078
895	75514.13064
896	75500.85843
897	75488.51986
898	75461.79495
899	75439.40328
900	75423.59022
901	75410.93081
902	75391.10272
903	75358.47687
904	75341.01396
905	75324.83648
906	75313.09796
907	75280.34107
908	75247.52994
909	75232.95789
910	75216.29185
911	75195.31964
912	75177.40779
913	75165.07495
914	75140.31777
915	75115.36019
916	75090.811
917	75057.18809
918	75033.57821
919	75016.45768
920	75008.68433
921	74992.10769
922	74969.3967
923	74958.57556
924	74945.3489
925	74920.10094
926	74889.04275
927	74883.17591
928	74859.30387
929	74827.47008
930	74804.84105
931	74789.8154
932	74776.32177
933	74760.08409
934	74757.30132
935	74735.27124
936	74713.68339
937	74699.20369
938	74675.60007
939	74651.49952
940	74625.73973
941	74611.1191
942	74606.46615
943	74584.16182
944	74568.33176
945	74545.16853
946	74496.03791
947	74436.28842
948	74415.87523
949	74399.17252
950	74381.28841
951	74370.96806
952	74342.20266
953	74322.7472
954	74298.76722
955	74286.44221
956	74256.62997
957	74236.43645
958	74216.2895
959	74201.00164
960	74167.95757
961	74154.18235
962	74128.09313
963	74122.61925
964	74103.67265
965	74074.19324
966	74047.51928
967	74028.97153
968	74005.77586
969	73994.0906
970	73974.60367
971	73945.09894
972	73922.37025
973	73908.21764
974	73885.4119
975	73872.92514
976	73850.61571
977	73831.59373
978	73801.54681
979	73778.49498
980	73753.84828
981	73740.62806
982	73728.04485
983	73699.98353
984	73692.03311
985	73678.49889
986	73660.14769
987	73647.07944
988	73637.65211
989	73593.93822
990	73582.98608
991	73574.09649
992	73550.01707
993	73533.10658
994	73511.35534
995	73487.04472
996	73481.02615
997	73459.58129
998	73438.75717
999	73424.60491
